"Territorio","COD_INE","dif2191","Dist_capital","mas15percen","eros_mod_grave","Tasa_desempleo","b_ancha","subsidios_poblacion","Gastos_habit","ind_ambiental","ind_social","ind_economico","vulner"
"Valenzuela",14063,-0.288706739526412,59.386691406,0.0308000664415163,48.48127396,19.1641566,0.0245762070835908,0.0835610200273224,1051.089832007,"3","1","4","3"
"Valsequillo",14064,-0.260115606936416,87.940024688,0.00629300161734009,0.04170335,28.0357143,1,0.00529865124277457,2104.211460674,"2","4","2","2"
"Victoria (La)",14065,0.247431506849315,26.674235917,0.00940997435888848,7.638888889,24.0048495,0.0245762070835908,0.0395619292251712,970.197569353,"1","2","4","2"
"Villa del R<ed>o",14066,-0.0312143671607754,50.19837852,0.0261143643928558,34.850025419,25.4879375,0.0245762070835908,0.0349795705031357,919.984874718,"2","1","3","2"
"Villafranca de C<f3>rdoba",14067,0.243822748621605,23.983973365,0.0703567805655477,14.102192601,24.6730934,0.0245762070835908,0.0216118712089034,1040.163923219,"1","2","3","1"
"Villaharta",14068,0.015625,35.149450019,0.141595664413305,7.710390221,33.7328767,0.342277032756931,0.009635416671875,2025.380145396,"1","4","2","2"
"Villanueva de C<f3>rdoba",14069,-0.129184945740014,71.819877752,0.0651845819454307,7.612810269,21.7691238,0.61563228908747,0.0280439467409374,967.873581166,"2","2","3","2"
"Villanueva del Duque",14070,-0.188835286009649,71.386777319,0.00799751516854267,0.833810185,24.3747519,0.0245762070835908,0.00591546060647829,1158.997891855,"1","1","2","1"
"Villanueva del Rey",14071,-0.227683049147442,59.107320692,0.0937100282590115,15.583772228,31.3651138,0.0245762070835908,0.0051822132998997,1638.536883365,"2","3","2","1"
"Villaralto",14072,-0.32940108892922,78.414718727,0.000893333896170741,0,23.5103926,0.0245762070835908,0.0522534785208711,0,"2","1","4","1"
"Villaviciosa de C<f3>rdoba",14073,-0.177060482607333,38.455418541,0.235547228655052,19.469143357,28.2090831,0.342277032756931,0.0130053274772798,949.591189223,"2","2","2","2"
"Viso (El)",14074,-0.167520693732755,81.237524031,0.0123594201366939,0.318209128,25.3928708,0.342277032756931,0.0401392721048482,1199.850902997,"2","2","4","2"
"Zuheros",14075,-0.34384858044164,65.895650924,0.166824988786243,26.73056443,24.375,0.342277032756931,0.0624342797160883,0,"3","1","4","3"
"Agr<f3>n",18001,-0.470588235294118,29.74473456,0.0423473533661442,11.081024787,32.967033,0.0245762070835908,0.054248366,2098.442992701,"1","2","4","3"
"Alamedilla",18002,-0.574468085106383,69.675660477,0.187173817167978,4.038712079,26.6343826,0.0245762070835908,0.0871749409042553,0,"2","1","4","3"
"Albolote",18003,0.274519029694688,8.671213766,0.0783404197001106,11.85530086,23.498788,0.433884229926108,0.00220444723285236,771.862718524,"1","3","1","1"
"Albond<f3>n",18004,-0.422437673130194,89.32512328,0.523969747656982,63.998693237,22.8402367,0.0245762070835908,0.0473222529916897,1122.593914835,"4","1","4","4"
"Albu<f1><e1>n",18005,-0.114143920595533,61.785971567,0.0461561531021835,1.181877873,21.3450292,0.342277032756931,0.007650951191067,1960.351970443,"1","2","2","1"
"Albu<f1>ol",18006,0.226013649136893,86.100264026,0.532392924913783,44.961655074,16.9718748,1,0.00683571970293055,682.642216231,"4","3","2","4"
"Albu<f1>uelas",18007,-0.470737913486005,35.877989822,0.289478636102629,8.404678645,27.1487848,0.944190446081501,0.0725190839821883,1884.138355664,"2","3","4","4"
"Aldeire",18010,-0.20545746388443,70.115321863,0.249659597989054,0.024088646,26.9943594,0.0245762070835908,0.0185928303852327,2262.914796748,"2","3","3","2"
"Alfacar",18011,0.158268146261597,8.607091633,0.262143496155764,41.837765062,24.6954905,0.61563228908747,0.000939906616336183,777.930885185,"2","3","1","2"
"Algarinejo",18012,-0.647540983606557,64.325110267,0.228489381335182,66.668703409,24.2841994,0.765509014965343,0.100546448081967,1223.325599206,"4","1","4","4"
"Alhama de Granada",18013,-0.0608787718369508,46.774264267,0.210781026377509,21.834743006,17.0047831,0.0245762070835908,0.0188371272260455,976.432430172,"2","1","3","1"
"Alhend<ed>n",18014,0.526772793053546,9.206065546,0.0579041725283137,11.183700587,24.6545949,0.314616408456899,0.000447936049204052,670.794031447,"1","4","1","1"
"Alic<fa>n de Ortega",18015,-0.363247863247863,85.386349976,0.441185246909816,26.609124538,24.9100719,0.194011868981895,0.087962962991453,0,"4","1","4","4"
"Almeg<ed>jar",18016,-0.172727272727273,74.139226609,0.495711178822966,61.028001534,22.0502901,0.400036231174958,0.0262626262727273,1539.204958904,"4","2","3","4"
"Almu<f1><e9>car",18017,0.172653534183082,69.898594311,0.570901822005928,27.550950856,29.3243119,0.342277032756931,0.00144199819775975,1199.708848156,"4","4","1","4"
"Alpujarra de la Sierra",18904,-0.211134453781513,92.893159027,0.309057429593139,6.409202957,20.6820682,0.0245762070835908,0.0440301120483193,887.044509606,"3","1","4","2"
"Alquife",18018,-0.597147950089127,70.904791813,0.175565817790646,1.068276823,22.6503759,0.61563228908747,0.0109922756862745,0,"2","1","2","1"
"Arenas del Rey",18020,-2.18910256410256,44.868723707,0.27057943801048,30.127933062,25.9168704,0.908505368681322,0.0646367521153846,1562.876096096,"3","1","4","1"
"Armilla",18021,0.36837789076595,4.802952516,0.0278097596940503,0,26.8232941,0.194011868981895,0.000536466021403969,807.050461653,"1","3","1","1"
"Atarfe",18022,0.419158245650589,10.620119501,0.100931980914112,8.383019319,27.3725156,0.194011868981895,0.00531739417335139,2220.762389608,"1","4","2","2"
"Baza",18023,-0.075292145357724,93.67982808,0.175203672143444,4.451096774,21.8091895,0.26826271065225,0.00389116249987673,1176.74952185,"3","1","1","1"
"Beas de Granada",18024,-0.0244897959183673,14.951640107,0.385668418504395,31.844660194,19.5176669,1,0.000935374153061224,1119.37234391,"3","3","1","2"
"Beas de Guadix",18025,-0.170278637770898,50.670644854,0.33872868870017,20.423023578,30.9836066,0.342277032756931,0.0356037151702786,1874.63775076,"3","4","3","4"
